,day,title,author,grade,postImage
53,월,마이너스의 손,김뎐,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
54,월,하루의 하루,김이랑,9.92,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
55,월,랭커,신건 / taibogi,9.87,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
56,월,퇴근 후에 만나요,박한나 / 햄친 / 로즈빈,9.94,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
57,월,악당과 악당이 만나면,삵 / 쏘가리 / 임하얌,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
58,월,최후의 금빛아이,알깨 / 새몽,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
59,월,주작연애,우까,9.81,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
60,월,영앤리치가 아니야!,최삡뺩,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
61,월,매지컬 급식:암살법사,웡웡이,9.94,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
62,월,원하나,비진,9.90,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
63,월,굿바이 유교보이,아실,9.94,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
64,월,오늘의 비너스,엄세윤 / 도달,9.97,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
65,월,백호랑,박혬,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
66,월,너를 돌려차는 방법,한성만,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
67,월,도깨비 부른다,WEBANGSANG,9.94,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
68,월,고백어택,늠개,9.88,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
69,월,제왕,"김남규 / 애풍, 콘티메이커",9.91,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
70,월,세번째 로망스,문조,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
71,월,북부 공작님을 유혹하겠습니다,가천가 / 은하수 / 주시하,9.97,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
72,월,슈퍼스타 천대리,Do8 / 이재국 / 박경원,9.83,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
73,월,"집사, 주세요!",꾀돌이,9.92,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
74,월,어쌔신 크리드 - 잊혀진 사원,"샤이아탄, ARC, Ubisoft / Tabii",9.85,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
75,월,메리의 불타는 행복회로,김지수,9.93,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
76,월,포스트 팬데믹,좡좡 / 영명 / 한산이가,9.88,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
77,월,역주행!,김현아,9.91,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
78,월,토마토가 돼라!,뮤리,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
